code_product,name,expiration_date,price,description
P00182,Omeprazol,2028-02-02,3500,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00183,Losartán,2025-11-23,20000,Usado para tratar la presión arterial alta.
P00184,Loratadina,2026-09-30,12000,Antihistamínico para tratar alergias.
P00185,Loratadina,2026-09-11,4000,Antihistamínico para tratar alergias.
P00186,Loratadina,2026-10-11,20000,Antihistamínico para tratar alergias.
P00187,Amoxicilina,2025-11-20,12000,Antibiótico usado para tratar infecciones bacterianas.
P00188,Losartán,2026-09-26,4000,Usado para tratar la presión arterial alta.
P00189,Omeprazol,2027-05-31,15000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00190,Dolex,2025-08-27,25000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00191,Metformina,2027-06-29,25000,Medicamento para la diabetes tipo 2.
P00192,Ibuprofeno,2027-12-04,50000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00193,Losartán,2025-07-20,3500,Usado para tratar la presión arterial alta.
P00194,Loratadina,2027-11-12,4500,Antihistamínico para tratar alergias.
P00195,Dolex,2026-05-21,7000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00196,Acetaminofén,2026-10-01,3500,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00197,Losartán,2027-09-01,7000,Usado para tratar la presión arterial alta.
P00198,Omeprazol,2025-11-22,8000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00199,Salbutamol,2027-10-26,12000,Broncodilatador usado para tratar el asma.
P00200,Metformina,2027-10-21,12000,Medicamento para la diabetes tipo 2.
P00201,Dolex,2027-02-28,6000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00202,Loratadina,2026-07-08,7000,Antihistamínico para tratar alergias.
P00203,Dolex,2027-04-20,4500,Marca comercial de acetaminofén usada para aliviar el dolor.
P00204,Acetaminofén,2028-03-15,3500,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00205,Omeprazol,2026-09-09,9000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00206,Loratadina,2027-04-22,20000,Antihistamínico para tratar alergias.
P00207,Loratadina,2028-05-18,5000,Antihistamínico para tratar alergias.
P00208,Omeprazol,2025-07-08,5000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00209,Loratadina,2027-08-14,7000,Antihistamínico para tratar alergias.
P00210,Losartán,2026-10-29,4500,Usado para tratar la presión arterial alta.
P00211,Metformina,2028-05-22,3000,Medicamento para la diabetes tipo 2.
P00212,Ibuprofeno,2027-01-02,4000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00213,Dolex,2027-02-25,4500,Marca comercial de acetaminofén usada para aliviar el dolor.
P00214,Metformina,2026-08-06,12000,Medicamento para la diabetes tipo 2.
P00215,Dolex,2026-10-20,45000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00216,Salbutamol,2026-10-05,5000,Broncodilatador usado para tratar el asma.
P00217,Loratadina,2026-09-07,4000,Antihistamínico para tratar alergias.
P00218,Omeprazol,2026-09-04,4500,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00219,Amoxicilina,2025-11-09,8000,Antibiótico usado para tratar infecciones bacterianas.
P00220,Amoxicilina,2027-10-08,6000,Antibiótico usado para tratar infecciones bacterianas.
P00221,Omeprazol,2027-05-03,35000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00222,Omeprazol,2028-02-04,40000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00223,Amoxicilina,2027-06-14,3500,Antibiótico usado para tratar infecciones bacterianas.
P00224,Omeprazol,2028-03-17,5000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00225,Omeprazol,2027-11-18,5000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00226,Dolex,2028-03-19,40000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00227,Ibuprofeno,2027-06-01,45000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00228,Amoxicilina,2027-09-19,50000,Antibiótico usado para tratar infecciones bacterianas.
P00229,Metformina,2027-07-28,3500,Medicamento para la diabetes tipo 2.
P00230,Loratadina,2026-08-15,3000,Antihistamínico para tratar alergias.
P00231,Metformina,2027-07-13,2500,Medicamento para la diabetes tipo 2.
P00232,Dolex,2028-04-29,25000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00233,Salbutamol,2025-08-15,7000,Broncodilatador usado para tratar el asma.
P00234,Simvastatina,2026-06-29,20000,Reduce el colesterol y triglicéridos.
P00235,Omeprazol,2025-09-18,6000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00236,Salbutamol,2025-07-02,8000,Broncodilatador usado para tratar el asma.
P00237,Metformina,2026-11-06,35000,Medicamento para la diabetes tipo 2.
P00238,Acetaminofén,2028-01-09,5000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00239,Loratadina,2026-03-17,8000,Antihistamínico para tratar alergias.
P00240,Metformina,2027-01-10,20000,Medicamento para la diabetes tipo 2.
P00241,Loratadina,2027-05-23,10000,Antihistamínico para tratar alergias.
P00242,Ibuprofeno,2026-09-24,4000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00243,Dolex,2027-02-17,7000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00244,Ibuprofeno,2026-05-03,45000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00245,Metformina,2025-11-02,6000,Medicamento para la diabetes tipo 2.
P00246,Losartán,2026-03-12,20000,Usado para tratar la presión arterial alta.
P00247,Acetaminofén,2028-01-25,35000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00248,Omeprazol,2026-04-25,15000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00249,Salbutamol,2025-09-10,15000,Broncodilatador usado para tratar el asma.
P00250,Simvastatina,2026-07-12,30000,Reduce el colesterol y triglicéridos.
P00251,Loratadina,2027-08-24,30000,Antihistamínico para tratar alergias.
P00252,Ibuprofeno,2027-01-08,9000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00253,Dolex,2025-10-22,18000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00254,Metformina,2027-09-02,8000,Medicamento para la diabetes tipo 2.
P00255,Losartán,2027-03-05,20000,Usado para tratar la presión arterial alta.
P00256,Simvastatina,2027-01-01,20000,Reduce el colesterol y triglicéridos.
P00257,Ibuprofeno,2025-08-14,4500,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00258,Dolex,2027-09-30,40000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00259,Salbutamol,2027-09-22,25000,Broncodilatador usado para tratar el asma.
P00260,Dolex,2027-06-08,4000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00261,Amoxicilina,2027-11-28,5000,Antibiótico usado para tratar infecciones bacterianas.
P00262,Loratadina,2026-01-07,6000,Antihistamínico para tratar alergias.
P00263,Losartán,2028-01-10,6000,Usado para tratar la presión arterial alta.
P00264,Dolex,2028-01-24,2500,Marca comercial de acetaminofén usada para aliviar el dolor.
P00265,Amoxicilina,2026-08-10,2500,Antibiótico usado para tratar infecciones bacterianas.
P00266,Salbutamol,2027-07-07,30000,Broncodilatador usado para tratar el asma.
P00267,Losartán,2026-04-22,4500,Usado para tratar la presión arterial alta.
P00268,Losartán,2026-07-15,40000,Usado para tratar la presión arterial alta.
P00269,Simvastatina,2027-07-14,18000,Reduce el colesterol y triglicéridos.
P00270,Salbutamol,2026-01-04,40000,Broncodilatador usado para tratar el asma.
P00271,Metformina,2027-11-20,4000,Medicamento para la diabetes tipo 2.
P00272,Loratadina,2026-12-23,7000,Antihistamínico para tratar alergias.
P00273,Dolex,2027-11-01,7000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00274,Amoxicilina,2026-04-28,5000,Antibiótico usado para tratar infecciones bacterianas.
P00275,Loratadina,2027-07-03,45000,Antihistamínico para tratar alergias.
P00276,Losartán,2027-05-20,5000,Usado para tratar la presión arterial alta.
P00277,Dolex,2028-01-21,4000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00278,Omeprazol,2026-11-12,5000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00279,Amoxicilina,2025-06-29,12000,Antibiótico usado para tratar infecciones bacterianas.
P00280,Salbutamol,2027-04-24,35000,Broncodilatador usado para tratar el asma.
P00281,Simvastatina,2026-01-01,20000,Reduce el colesterol y triglicéridos.
P00282,Salbutamol,2026-05-21,50000,Broncodilatador usado para tratar el asma.
P00283,Salbutamol,2027-09-04,3000,Broncodilatador usado para tratar el asma.
P00284,Acetaminofén,2026-05-16,12000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00285,Simvastatina,2026-10-23,30000,Reduce el colesterol y triglicéridos.
P00286,Losartán,2027-01-03,2500,Usado para tratar la presión arterial alta.
P00287,Simvastatina,2027-02-11,20000,Reduce el colesterol y triglicéridos.
P00288,Loratadina,2026-07-11,20000,Antihistamínico para tratar alergias.
P00289,Loratadina,2027-01-07,40000,Antihistamínico para tratar alergias.
P00290,Dolex,2027-05-08,20000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00291,Salbutamol,2027-07-16,2500,Broncodilatador usado para tratar el asma.
P00292,Dolex,2025-06-25,4000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00293,Losartán,2026-03-22,3500,Usado para tratar la presión arterial alta.
P00294,Amoxicilina,2026-11-29,4500,Antibiótico usado para tratar infecciones bacterianas.
P00295,Metformina,2026-02-05,6000,Medicamento para la diabetes tipo 2.
P00296,Losartán,2027-04-08,4000,Usado para tratar la presión arterial alta.
P00297,Omeprazol,2028-03-15,10000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00298,Salbutamol,2027-05-26,10000,Broncodilatador usado para tratar el asma.
P00299,Ibuprofeno,2025-12-28,30000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00300,Omeprazol,2028-05-10,50000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00301,Salbutamol,2026-04-03,20000,Broncodilatador usado para tratar el asma.
P00302,Simvastatina,2028-05-12,20000,Reduce el colesterol y triglicéridos.
P00303,Omeprazol,2025-06-26,4000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00304,Loratadina,2026-01-08,2500,Antihistamínico para tratar alergias.
P00305,Losartán,2028-02-01,6000,Usado para tratar la presión arterial alta.
P00306,Dolex,2027-03-03,18000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00307,Amoxicilina,2025-10-05,30000,Antibiótico usado para tratar infecciones bacterianas.
P00308,Acetaminofén,2027-02-10,30000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00309,Ibuprofeno,2028-01-24,40000,Antiinflamatorio no esteroideo para el tratamiento del dolor leve y fiebre.
P00310,Loratadina,2027-06-16,20000,Antihistamínico para tratar alergias.
P00311,Omeprazol,2027-01-21,45000,Inhibidor de la bomba de protones usado para tratar problemas gástricos.
P00312,Salbutamol,2027-08-30,5000,Broncodilatador usado para tratar el asma.
P00313,Metformina,2025-07-15,15000,Medicamento para la diabetes tipo 2.
P00314,Dolex,2027-03-12,12000,Marca comercial de acetaminofén usada para aliviar el dolor.
P00315,Metformina,2027-02-05,4000,Medicamento para la diabetes tipo 2.
P00316,Loratadina,2026-09-19,12000,Antihistamínico para tratar alergias.
P00317,Acetaminofén,2025-11-02,50000,Analgésico y antipirético usado para aliviar el dolor y reducir la fiebre.
P00318,Metformina,2028-03-26,25000,Medicamento para la diabetes tipo 2.
P00319,Salbutamol,2027-05-21,4500,Broncodilatador usado para tratar el asma.
